id,name,latitude,longitude,city,county,access_type,dogs_allowed,parking,restrooms,managing_agency
1270,Seal Beach,33.740726,-118.109428,Seal Beach,Orange,Beach Access,,Yes,Yes,
1271,Seal Beach Pier,33.739218,-118.106377,Seal Beach,Orange,Pier,,Yes,Yes,
1273,Surfside Beach,33.723568,-118.079678,Surfside,Orange,Beach Access,,No,No,
1274,Boardwalk and viewpoint (Huntington Harbour North),33.728119,-118.082319,N. end of Huntington Harbour,Orange,Natural Resource,No,No,No,
1275,Waterfront Walkway (Peter's Landing),33.724983,-118.077265,Huntington Harbour,Orange,Visual Access,No,Yes,No,
1276,Sunset Beach,33.717868,-118.073476,Huntington Beach,Orange,Beach Access,,Yes,Yes,
1277,Huntington Harbour,33.72001,-118.063674,Huntington Beach,Orange,Boat Access,,Yes,Yes,
1278,Warner Avenue Access,33.712124,-118.055463,Huntington Beach,Orange,Boat Access,,Yes,No,
1279,French Park,33.723633,-118.067752,Huntington Beach,Orange,Beach Access,,Yes,No,
1280,Trinidad Park,33.726517,-118.065777,Huntington Beach,Orange,Beach Access,,Yes,Yes,
1281,Seabridge Park,33.726678,-118.071837,Huntington Beach,Orange,Beach Access,,Yes,Yes,
1282,Sunset Aquatic Marina,33.729638,-118.072491,Huntington Beach,Orange,Boat Access,,Yes,Yes,
1283,Bolsa Chica Interpretive Center,33.711348,-118.06149,Huntington Beach,Orange,Natural Resource,,Yes,Yes,
1284,Bolsa Chica State Beach,33.707662,-118.060734,Huntington Beach,Orange,Beach Access,,Yes,Yes,
1285,Bolsa Chica Ecological Reserve,33.695575,-118.046719,Huntington Beach,Orange,Natural Resource,,Yes,Yes,
1286,Bolsa Chica State Beach Campground,33.692133,-118.044305,S. of entrance to Bolsa Chica State Beach,Orange,Campground,,Yes,Yes,
1287,Dog Beach (Huntington Beach),33.675997,-118.028063,Huntington Beach,Orange,Beach Access,Yes,Yes,Yes,
1288,Colonial Inn Hostel,33.661544,-118.001344,Huntington Beach,Orange,LCOA,,Yes,Yes,
1289,Huntington City Beach (6th Street),33.657853,-118.00409,Huntington Beach,Orange,Beach Access,No,Yes,Yes,
1290,Huntington Beach International Surfing Museum,33.659175,-118.000741,Huntington Beach,Orange,Historic/Cultural Site,,Yes,Yes,
1291,Huntington Beach Pier,33.656809,-118.002388,Huntington Beach,Orange,Pier,,Yes,Yes,
1292,Huntington City Beach,33.649946,-117.992591,Huntington Beach,Orange,Beach Access,,Yes,Yes,
1293,Wetlands and Wildlife Care Center,33.64376,-117.979774,Huntington Beach,Orange,Historic/Cultural Site,,No,No,
1294,Huntington Beach Wetlands,33.642267,-117.974084,Huntington Beach,Orange,Natural Resource,,No,No,
1295,Huntington Beach Wetlands / Talbert Marsh,33.636579,-117.962506,Huntington Beach,Orange,Natural Resource,,No,No,
1296,Huntington State Beach,33.639216,-117.974031,Huntington Beach,Orange,Beach Access,,Yes,Yes,
1297,Santa Ana River Trail,33.632934,-117.957308,Newport Beach,Orange,Natural Resource,Yes,No,No,
1298,Santa Ana River Mouth Beach,33.628985,-117.956851,seaward of Pacific Coast Hwy. Newport Beach,Orange,Beach Access,Yes,Yes,No,
1299,West Newport Beach,33.619853,-117.939854,Newport Beach,Orange,Beach Access,,Yes,Yes,
1300,Channel Place Park,33.621044,-117.936942,Newport Beach,Orange,Beach Access,,No,Yes,
1301,Newport Island Park,33.618917,-117.934237,Newport Beach,Orange,Beach Access,,No,,
1302,Lido Park,33.616505,-117.926474,Newport Beach,Orange,Beach Access,,No,,
1303,Oceanfront Walk,33.616085,-117.935613,Newport Beach,Orange,Beach Access,,Yes,No,
1304,Newport Pier,33.607705,-117.928825,Newport Beach,Orange,Pier,,Yes,Yes,
1305,Balboa Beach,33.603904,-117.915307,Newport Beach,Orange,Beach Access,,Yes,Yes,
1306,Balboa Pier,33.600712,-117.900076,Newport Beach,Orange,Pier,,Yes,Yes,
1307,Las Arenas Beach,33.608704,-117.924821,Balboa Peninsula,Orange,Beach Access,,Yes,,
1308,10th Street Beach,33.606266,-117.912996,Newport Beach,Orange,Beach Access,,No,,
1309,Montero Beach,33.605799,-117.904588,Newport Beach,Orange,Beach Access,,No,,
1310,Newport Harbor,33.609704,-117.921133,Newport Beach,Orange,Boat Access,,Yes,Yes,
1311,Beacon Bay Beach,33.610068,-117.899456,Newport Beach,Orange,Beach Access,No,Yes,No,
1312,Balboa Island,33.606879,-117.88982,Newport Beach,Orange,Beach Access,,Yes,Yes,
1313,ExplorOcean,33.60307,-117.90052,Newport Beach,Orange,Historic/Cultural Site,,Yes,Yes,
1314,Balboa Pavilion,33.602577,-117.899047,Newport Beach,Orange,Historic/Cultural Site,,Yes,Yes,
1315,Peninsula Park (Newport Beach),33.600823,-117.899483,Newport Beach,Orange,Beach Access,,Yes,No,
1316,Bay Beaches,33.599767,-117.886896,Newport Beach,Orange,Beach Access,,Yes,No,
1317,Bayfront Walkway,33.602842,-117.899322,Balboa Peninsula,Orange,Beach Access,,Yes,No,
1318,West Jetty View Park,33.595579,-117.882025,Newport Beach,Orange,Beach Access,,Yes,No,
1319,Bayside Drive County Beach,33.602561,-117.882999,Corona del Mar,Orange,Beach Access,,Yes,Yes,
1320,China Cove Beach,33.596891,-117.879167,Corona del Mar,Orange,Beach Access,,No,No,
1321,Pirates Cove,33.595166,-117.878073,Corona del Mar,Orange,Beach Access,,No,No,
1322,Corona del Mar State Beach,33.594004,-117.876799,Corona del Mar,Orange,Beach Access,,Yes,Yes,
1323,Inspiration Point,33.592329,-117.871383,Corona del Mar,Orange,Beach Access,,No,No,
1324,Little Corona del Mar Beach,33.590144,-117.869376,Corona del Mar,Orange,Beach Access,,No,Yes,
1325,Castaways Park,33.619042,-117.905907,Newport Beach,Orange,Natural Resource,Yes,Yes,No,
1326,Environmental Nature Center,33.623089,-117.908213,Newport Beach,Orange,Natural Resource,,Yes,Yes,
1327,Westcliff Park,33.621942,-117.898741,Newport Beach,Orange,Visual Access,Yes,Yes,No,
1328,Newport Aquatic Center at North Star Beach,33.625315,-117.893525,Newport Beach,Orange,Boat Access,,Yes,Yes,
1329,Galaxy Park,33.627776,-117.89073,Newport Beach,Orange,Visual Access,Yes,Yes,No,
1330,Upper Newport Bay Ecological Reserve,33.642359,-117.887284,Newport Beach,Orange,Natural Resource,,Yes,Yes,
1331,Peter and Mary Muth Interpretive Center,33.653338,-117.885033,Newport Beach,Orange,Natural Resource,,Yes,Yes,
1332,Vista Point (Upper Newport Bay),33.645175,-117.870764,Newport Beach,Orange,Visual Access,,Yes,No,
1333,Newport Dunes Waterfront Resort and Marina,33.615432,-117.892569,Newport Beach,Orange,Beach Access,Yes,Yes,Yes,
1334,Back Bay View Park,33.613656,-117.891411,Newport Beach,Orange,Visual Access,,No,No,
1335,Back Bay Science Center,33.620978,-117.891341,Newport Beach,Orange,Natural Resource,,Yes,Yes,
1336,Crystal Cove State Park (Pelican Point),33.582703,-117.849215,,Orange,Beach Access,,Yes,Yes,
