agency_name,flickr_username,nsid,states,notes
California State Parks,castateparks,139789087@N04,CA,CDPR — 842 photos — verified 2026-05-19
Washington State Parks,wastateparks,,WA,WSPRC — only 31 photos — not worth alone
Oregon State Parks,oregonstateparks,,OR,OPRD — 1 photo — alt is oprd (4 photos) — basically empty
King County Parks,kingcountyparks,,WA,Seattle metro WA — 12645 photos — HIGH VALUE
BLM California,blmcalifornia,,CA,Federal CA coastal lands — 11306 photos — HIGH VALUE
Orange County Parks,ocparks,,CA,0 photos as of 2026-05-19
LA County Beaches & Harbors,,,CA,Username unknown — find handle
National Park Service,,,*,Username unknown — nationalparkservice doesn't resolve
US Fish & Wildlife Service,,,*,Username unknown — usfws doesn't resolve
East Bay Regional Park District,,,CA,Username unknown — ebparks doesn't resolve
San Diego County Parks,,,CA,Username unknown
Pierce County Parks,,,WA,Username unknown
San Juan County Parks,,,WA,Username unknown
BLM Oregon,,,OR,Username unknown — blmoregon doesn't resolve
