county,beaches,platform,doc_slug,url,animal_chapter_hint
Los Angeles,89,municode,code_of_ordinances,https://library.municode.com/ca/los_angeles_county/codes/code_of_ordinances,EXPAND TITLE 10 - ANIMALS
San Diego,69,unknown,,,
Orange,63,municode,code_of_ordinances,https://library.municode.com/ca/orange_county/codes/code_of_ordinances,EXPAND TITLE 4 - HEALTH SANITATION AND ANIMAL REGULATIONS
Marin,58,municode,municipal_code,https://library.municode.com/ca/marin_county/codes/municipal_code,EXPAND TITLE 8 - ANIMALS*
Sonoma,45,municode,code_of_ordinances,https://library.municode.com/ca/sonoma_county/codes/code_of_ordinances,EXPAND CHAPTER 5 - SONOMA COUNTY ANIMAL REGULATION ORDINANCE
Santa Cruz,45,unknown,,,
Santa Barbara,42,municode,code_of_ordinances,https://library.municode.com/ca/santa_barbara_county/codes/code_of_ordinances,EXPAND CHAPTER 7 - ANIMALS AND FOWL
San Mateo,38,municode,code_of_ordinances,https://library.municode.com/ca/san_mateo_county/codes/code_of_ordinances,EXPAND TITLE 6 - ANIMALS
Monterey,38,municode,code_of_ordinances,https://library.municode.com/ca/monterey_county/codes/code_of_ordinances,EXPAND TITLE 8 - ANIMAL CONTROL
Ventura,35,unknown,,,
Mendocino,29,municode,code_of_ordinances,https://library.municode.com/ca/mendocino_county/codes/code_of_ordinances,EXPAND TITLE 10 - ANIMALS
Humboldt,26,unknown,,,
San Luis Obispo,19,unknown,,,
San Bernardino,15,unknown,,,
Placer,15,unknown,,,
San Francisco,14,unknown,,,
El Dorado,13,municode,code_of_ordinances,https://library.municode.com/ca/el_dorado_county/codes/code_of_ordinances,EXPAND TITLE 6 - ANIMALS
Alameda,12,municode,code_of_ordinances,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances,EXPAND TITLE 5 - ANIMALS
Del Norte,11,unknown,,,
Riverside,8,municode,code_of_ordinances,https://library.municode.com/ca/riverside_county/codes/code_of_ordinances,EXPAND TITLE 6 - ANIMALS
Sacramento,8,unknown,,,
Nevada,6,municode,code_of_ordinances,https://library.municode.com/ca/nevada_county/codes/code_of_ordinances,EXPAND TITLE 8. - ANIMAL REGULATION
Fresno,5,municode,code_of_ordinances,https://library.municode.com/ca/fresno_county/codes/code_of_ordinances,EXPAND TITLE 9 - ANIMALS
Tuolumne,5,unknown,,,
Mono,3,municode,code_of_ordinances,https://library.municode.com/ca/mono_county/codes/code_of_ordinances,EXPAND TITLE 9 - ANIMALS
Lassen,3,unknown,,,
Imperial,3,municode,code_of_ordinances,https://library.municode.com/ca/imperial_county/codes/code_of_ordinances,EXPAND TITLE 6 - ANIMALS
Shasta,3,municode,code,https://library.municode.com/ca/shasta_county/codes/code,EXPAND TITLE 6 - ANIMALS
Contra Costa,3,unknown,,,
Plumas,2,municode,code_of_ordinances,https://library.municode.com/ca/plumas_county/codes/code_of_ordinances,
Calaveras,2,municode,code_of_ordinances,https://library.municode.com/ca/calaveras_county/codes/code_of_ordinances,EXPAND TITLE 6 - ANIMALS
Yuba,2,municode,code_of_ordinances,https://library.municode.com/ca/yuba_county/codes/code_of_ordinances,
Lake,2,municode,code_of_ordinances,https://library.municode.com/ca/lake_county/codes/code_of_ordinances,"EXPAND CHAPTER 4 - ANIMALS, FISH AND FOWL"
Solano,2,unknown,,,
Siskiyou,2,municode,code_of_ordinances,https://library.municode.com/ca/siskiyou_county/codes/code_of_ordinances,
Madera,2,municode,code_of_ordinances,https://library.municode.com/ca/madera_county/codes/code_of_ordinances,EXPAND TITLE 6 - ANIMALS AND AGRICULTURE
Butte,1,municode,code_of_ordinances,https://library.municode.com/ca/butte_county/codes/code_of_ordinances,EXPAND CHAPTER 4 - ANIMALS
Stanislaus,1,unknown,,,
Merced,1,unknown,,,
San Joaquin,1,municode,code_of_ordinances,https://library.municode.com/ca/san_joaquin_county/codes/code_of_ordinances,
Napa,1,municode,code_of_ordinances,https://library.municode.com/ca/napa_county/codes/code_of_ordinances,EXPAND TITLE 6 - ANIMALS
Glenn,1,unknown,,,
