WKT,fid,COUNTRY,NAME,ADDR1,ADDR2,ADDR3,ADDR4,ADDR5,CAT_MOD,STATE
POINT (-74.5103506 39.3199507),794,US,Margate Beach,9100 Atlantic Ave,"Margate City, NJ 08402",United States,,,travel_and_leisure.beach,NJ
POINT (-122.3656648 48.1384793),1102,US,Kayak Point Beach,15712 94th Ave NW,"Stanwood, WA 98292",United States,,,travel_and_leisure.beach,WA
POINT (-157.8336163 21.2779826),3424,US,Beach behind Outrigger Reef Beach Resort,2161 Kalia Rd,Apt 900,"Honolulu, HI  96815",United States,,travel_and_leisure.beach,HI
POINT (-117.308566 33.0722156),5079,US,Leucadia,1448 Neptune Ave,"Encinitas, CA  92024",United States,,,travel_and_leisure.beach,CA
POINT (-72.102449 40.9761625),9369,US,The Beach,63 Marine Blvd,"Napeague, NY  11930",United States,,,travel_and_leisure.beach,NY
POINT (-67.2568692 18.3418348),11207,US,Playa Victorio Luciano,Rincón,PR,United States,,,travel_and_leisure.beach,PR
POINT (-157.8242576 21.2740686),15931,US,Waikiki Beach,Kalakaua Avenuue,"Honolulu, HI 96815",United States,,,travel_and_leisure.beach,HI
POINT (-74.778905 39.170933),17352,US,Cape May Beach,64 Sunny Ln,"Cape May Court House, NJ  08210",United States,,,travel_and_leisure.beach,NJ
POINT (-94.8819152 29.2352567),19760,US,Sunny Beach,11215 Bernice Dr,"Galveston, TX 77554",United States,,,travel_and_leisure.beach,TX
POINT (144.6543209 13.382215),20037,US,White Beach Two,143 RT 2,Guam 96910,United States,,,travel_and_leisure.beach,PR
POINT (-82.7676328 27.7627836),24391,US,The Beach,10200 Gulf Blvd,"Treasure Island, FL  33706",United States,,,travel_and_leisure.beach,FL
POINT (-72.9261762 40.7122951),33746,US,Bellport Beach,Fire Island,NY,United States,,,travel_and_leisure.beach,NY
POINT (-80.275483 32.5189139),37558,US,Jeremy Cay At Edingsville Beach,50 Lagoonside Ct,"Edisto Island, SC  29438",United States,,,travel_and_leisure.beach,SC
