fid,name,latitude,longitude,formatted_address,street_number,route,city,county,state,zip,country,governing_jurisdiction,governing_body,geocode_status,raw_addr1,raw_addr2,raw_addr3,raw_addr4,raw_addr5
5079,Leucadia,33.0722156,-117.308566,"1448 Neptune Ave, Encinitas, CA 92024, USA",1448,Neptune Avenue,Leucadia,San Diego County,California,92024,United States,municipal,City of Leucadia,OK,1448 Neptune Ave,"Encinitas, CA  92024",United States,,
119550,Calafia Beach,33.4052945,-117.6062382,"250 Avenida Calafia, San Clemente, CA 92672, USA",250,Avenida Calafia,San Clemente,Orange County,California,92672,United States,municipal,City of San Clemente,OK,250 Avenida Calafia,"San Clemente, CA  92672",United States,,
143286,Encinitas Beach,33.0548668,-117.3010606,"340w S El Portal St, Encinitas, CA 92024, USA",340w,South El Portal Street,Encinitas,San Diego County,California,92024,United States,municipal,City of Encinitas,OK,350 S El Portal St,"Encinitas, CA  92024",United States,,
205865,Pescadero Point Beach,37.2445786,-122.4183529,"12719 CA-1, Pescadero, CA 94060, USA",12719,California 1,Pescadero,San Mateo County,California,94060,United States,municipal,City of Pescadero,OK,12863–12879 Cabrillo Hwy,"Pescadero, CA  94060",United States,,
214291,Moss Beach,36.6094649,-121.9490469,"7 17 Mile Dr, Pebble Beach, CA 93953, USA",7,17 Mile Drive,Pebble Beach,Monterey County,California,93953,United States,municipal,City of Pebble Beach,OK,53–63 17 Mile Dr,"Pebble Beach, CA  93953",United States,,
214362,Mother's Beach,33.9815258,-118.4580982,"4101 Admiralty Way, Marina Del Rey, CA 90292, USA",4101,Admiralty Way,Marina del Rey,Los Angeles County,California,90292,United States,municipal,City of Marina del Rey,OK,4101 Admiralty Way,"Marina del Rey, CA  90292",United States,,
263574,Pistachio Beach,37.1922588,-122.3978251,"5JR2+WV Pescadero, CA, USA",,,Pescadero,San Mateo County,California,,United States,municipal,City of Pescadero,OK,"Pigeon Point Rd and Cabrillo Hwy
Pescadero, CA  94060
United States",,,,
269506,Ribbon Beach,33.4496185,-118.5788991,"CCXC+RC Two Harbors, CA, USA",,,Two Harbors,Los Angeles County,California,90704,United States,municipal,City of Two Harbors,OK,,,,,
290718,Pismo Beach,35.1385248,-120.6432694,"1 Pier Ave, Pismo Beach, CA 93449, USA",1,Pier Avenue,Downtown,San Luis Obispo County,California,93449,United States,municipal,City of Downtown,OK,,,,,
295327,Wright's Beach,38.4004416,-123.0969761,"7095 CA-1, Bodega Bay, CA 94923, USA",7095,California 1,Bodega Bay,Sonoma County,California,94923,United States,municipal,City of Bodega Bay,OK,7095 Highway 1,"Bodega Bay CA, 94923",United States,,
